# Dead-ROI verdicts, CONSUMED not recomputed.
# Source of record: the R team's rule (fireflies decisions/0002), applied by
# interface2's if2_dead_roi_keep against
#   2R/2026-08-15/long_window_20_strict_ROI/long_window_20_strict_ROI_custard_20260815.csv
# (the CURRENT roster; the pipeline's own default points into 2R/QUARANTINE/).
#
# The rule needs drug and high-K rows, which FOUNDATIONS SS9 keeps out of this repo's
# baseline-only reach — so the VERDICTS are vendored here and the rule is not ported.
# keep=0 means the R team rejected that ROI. A slice with no rejections may simply be
# ineligible for a verdict (18 of 85 are); that is the spec, not a bug.
# Regenerate: interface2 dump_droi.m on branch bct-modularity-fast.
slice_id,roi_index,keep
20240726_36,9,1
20240726_36,10,1
20240726_36,11,1
20240726_36,12,1
20240726_36,13,1
20240726_36,14,1
20240726_36,15,1
20240726_36,16,1
20240726_36,17,1
20240726_36,18,1
20240726_36,19,1
20240726_36,20,1
20240726_36,21,1
20240726_36,22,1
20240726_36,23,1
20240726_36,24,1
20240726_36,25,1
20240726_36,26,1
20240726_36,27,1
20240726_36,28,1
20240726_36,29,1
20240726_36,30,1
20240726_36,31,1
20240726_36,32,1
20240726_36,33,1
20240726_36,34,1
20240726_36,35,1
20240726_36,36,1
20240726_36,37,1
20240726_36,38,1
20240726_36,39,1
20240726_36,40,1
20240726_36,41,1
20240726_36,42,1
20240726_36,43,1
20240726_36,44,1
20240726_36,45,1
20240726_36,46,1
20240726_36,47,1
20240726_36,48,1
20240726_36,49,1
20240726_36,50,1
20240726_36,51,1
20240813_39,1,1
20240813_39,2,1
20240813_39,3,1
20240813_39,4,1
20240813_39,5,1
20240813_39,6,1
20240813_39,7,1
20240813_39,8,1
20240813_39,9,1
20240813_39,10,1
20240813_39,11,1
20240813_39,12,1
20240813_39,13,1
20240813_39,14,1
20240813_39,15,1
20240813_39,16,1
20240813_39,17,1
20240813_39,18,1
20240813_39,19,1
20240813_39,20,1
20240813_39,21,1
20240813_39,22,1
20240813_39,23,1
20240813_39,24,1
20240813_39,25,1
20240813_39,26,1
20240813_39,27,1
20240813_39,28,1
20240813_39,29,1
20240813_39,30,1
20240813_39,31,1
20240813_39,32,1
20240813_39,33,1
20240813_39,34,1
20240813_39,35,1
20240813_39,36,1
20240813_39,37,1
20240813b42,1,1
20240813b42,2,1
20240813b42,3,1
20240813b42,4,1
20240813b42,5,1
20240813b42,6,1
20240813b42,7,1
20240813b42,8,1
20240813b42,9,1
20240813b42,10,1
20240813b42,11,1
20240813b42,12,1
20240813b42,13,1
20240813b42,14,1
20240813b42,15,1
20240813b42,16,1
20240813b42,17,1
20240813b42,18,1
20240813b42,19,1
20240813b42,20,1
20240813b42,21,1
20240813b42,22,1
20240813b42,23,1
20240813b42,24,1
20240813b42,25,1
20240813b42,26,1
20240813b42,27,1
20240813b42,28,1
20240813b42,29,1
20240813b42,30,1
20240813b42,31,1
20240813b42,32,1
20240813b42,33,1
20240813b42,34,1
20240813b42,35,1
20240813b42,36,1
20240813b42,37,1
20240814a47,1,1
20240814a47,2,1
20240814a47,3,1
20240814a47,4,1
20240814a47,5,1
20240814a47,6,1
20240814a47,7,1
20240814a47,8,1
20240814a47,9,1
20240814a47,10,1
20240814a47,11,1
20240814a47,12,1
20240814a47,13,1
20240814a47,14,1
20240814a47,15,1
20240814a47,16,1
20240814a47,17,1
20240814b49,1,1
20240814b49,2,1
20240814b49,3,1
20240814b49,4,1
20240814b49,5,1
20240814b49,6,1
20240814b49,7,1
20240814b49,8,1
20240814b49,9,1
20240814b49,10,1
20240814b49,11,1
20240814b49,12,1
20240814b49,13,1
20240814b49,14,1
20240814b49,15,1
20240814b49,16,1
20240814b49,17,1
20240814b49,18,1
20240814b49,19,1
20240814b49,20,1
20240814b49,21,1
20240814b49,22,1
20240814b49,23,1
20240814b49,24,1
20240814b49,25,1
20240814b49,26,1
20240814b49,27,1
20240814b49,28,1
20240814b49,29,1
20240814b49,30,1
20240814b49,31,1
20240814b49,32,1
20240814b49,33,1
20240814b49,34,1
20240814b49,35,1
20240814b49,36,1
20240814b49,37,1
20240814b49,38,1
20240814b49,39,1
20240814b49,40,1
20240814b49,41,1
20240814b49,42,1
20240814b49,43,1
20240815a51,1,1
20240815a51,2,1
20240815a51,3,1
20240815a51,4,1
20240815a51,5,1
20240815a51,6,1
20240815a51,7,1
20240815a51,8,1
20240815a51,9,1
20240815a51,10,1
20240815a51,11,1
20240815a51,12,1
20240815a51,13,1
20240815a51,14,1
20240815a51,15,1
20240815a51,16,1
20240815a51,17,1
20240815a51,18,1
20240815a51,19,1
20240815a51,20,1
20240815a51,21,1
20240815a51,22,1
20240815a51,23,1
20240815a51,24,1
20240815b53,1,1
20240815b53,2,1
20240815b53,3,1
20240815b53,4,1
20240815b53,5,1
20240815b53,6,1
20240815b53,7,1
20240815b53,8,1
20240815b53,9,1
20240815b53,10,1
20240815b53,11,1
20240815b53,12,1
20240815b53,13,1
20240815b53,14,1
20240815b53,15,1
20240815b53,16,1
20240815b53,17,1
20240815b53,18,1
20240815b53,19,1
20240815b53,20,1
20240815b53,21,1
20240815b53,22,1
20240815b53,23,1
20240815b53,24,1
20240815b53,25,1
20240815b53,26,1
20240815b53,27,1
20240815b53,28,1
20240815b53,29,1
20240815b53,30,1
20240815b53,31,1
20240815b53,32,1
20240815b53,33,1
20240815b53,34,1
20240815b53,35,1
20240815b53,36,1
20240815b53,37,1
20240827a55,1,1
20240827a55,2,1
20240827a55,3,1
20240827a55,4,1
20240827a55,5,1
20240827a55,6,1
20240827a55,7,1
20240827a55,8,1
20240827a55,9,1
20240827a55,10,1
20240827a55,11,1
20240827a55,12,1
20240827a55,13,1
20240827a55,14,1
20240827a55,15,1
20240827a55,16,1
20240827a55,17,1
20240827a55,18,1
20240827a55,19,1
20240827a55,20,1
20240827a55,21,1
20240827a55,22,1
20240827a55,23,1
20240827a55,24,1
20240827a55,25,1
20240827a55,26,1
20240827a55,27,1
20240827a55,28,1
20240827a55,29,1
20240827b57,1,1
20240827b57,2,1
20240827b57,3,1
20240827b57,4,1
20240827b57,5,1
20240827b57,6,1
20240827b57,7,1
20240827b57,8,1
20240827b57,9,1
20240827b57,10,1
20240827b57,11,1
20240827b57,12,1
20240827b57,13,1
20240827b57,14,1
20240827b57,15,1
20240827b57,16,1
20240827b57,17,1
20240827b57,18,1
20240827b57,19,1
20240827b57,20,1
20240827b57,21,1
20240827b57,22,1
20240827b57,23,1
20240827b57,24,1
20240827b57,25,1
20240827b57,26,1
20240827b57,27,1
20240827b57,28,1
20240827b57,29,1
20240827b57,30,1
20240827b57,31,1
20240827b57,32,1
20240827b57,33,1
20240827b57,34,1
20240827b57,35,1
20240827b57,36,1
20240930_65,1,1
20240930_65,2,1
20240930_65,3,1
20240930_65,4,1
20240930_65,5,1
20240930_65,6,1
20240930_65,7,1
20240930_65,8,1
20240930_65,9,1
20240930_65,10,1
20240930_65,11,1
20240930_65,12,1
20240930_65,13,1
20240930_65,14,1
20240930_65,15,1
20240930_65,16,1
20240930_65,17,1
20240930_65,18,1
20240930_65,19,1
20240930_65,20,1
20240930_65,21,1
20240930_65,22,1
20240930_65,23,1
20240930_65,24,1
20240930_65,25,1
20240930_65,26,1
20240930_65,27,1
20240930_65,28,1
20240930_65,29,1
20240930_65,30,1
20240930_65,31,1
20240930_65,32,1
20240930_65,33,1
20240930_65,34,1
20240930_65,35,1
20240930_65,36,1
20240930_65,37,1
20240930_65,38,1
20240930_65,39,1
20240930_65,40,1
20240930_65,41,1
20240930_65,42,1
20240930_65,43,1
20240930_65,44,1
20240930_65,45,1
20240930_65,46,1
20240930_65,47,1
20240930_65,48,1
20240930_65,49,1
20240930_65,50,1
20240930_65,51,1
20240930_65,52,1
20240930_65,53,1
20240930_69,1,1
20240930_69,2,1
20240930_69,3,1
20240930_69,4,1
20240930_69,5,1
20240930_69,6,1
20240930_69,7,1
20240930_69,8,1
20240930_69,9,1
20240930_69,10,1
20240930_69,11,1
20240930_69,12,1
20240930_69,13,1
20240930_69,14,1
20240930_69,15,1
20240930_69,16,1
20240930_69,17,1
20240930_69,18,1
20240930_69,19,1
20241002_72,1,1
20241002_72,2,1
20241002_72,3,0
20241002_72,4,1
20241002_72,5,0
20241002_72,6,0
20241002_72,7,1
20241002_72,8,1
20241002_72,9,1
20241002_72,10,1
20241002_72,11,1
20241002_72,12,1
20241002_72,13,1
20241002_72,14,0
20241002_72,15,1
20241002_72,16,0
20241002_72,17,1
20241002_72,18,1
20241002_72,19,1
20241002_72,20,1
20241002_72,21,0
20241002_72,22,1
20241002_72,23,1
20241002_72,24,1
20241002_72,25,1
20241004_80,1,1
20241004_80,2,1
20241004_80,3,1
20241004_80,4,1
20241004_80,5,1
20241004_80,6,1
20241004_80,7,1
20241004_80,8,1
20241004_80,9,1
20241120_94,1,1
20241120_94,2,1
20241120_94,3,1
20241120_94,4,1
20241120_94,5,1
20241120_94,6,1
20241120_94,7,1
20241120_94,8,1
20241120_94,9,1
20241120_94,10,1
20241120_94,11,1
20241120_94,12,1
20241120_94,13,1
20241120_94,14,1
20241120_94,15,1
20241120_94,16,1
20241120_94,17,1
20241120_94,18,1
20241120_94,19,1
20241120_94,20,1
20241120_94,21,1
20241120_94,22,1
20241120_94,23,1
20241120_94,24,1
20241120_94,25,1
20241120_94,26,1
20241120_94,27,1
20241120_94,28,1
20241120_94,29,1
20241120_94,30,1
20241120_94,31,1
20241120_94,32,1
20241120_94,33,1
20241120_94,34,1
20241120_94,35,1
20241120_94,36,1
20241120_94,37,1
20241120_94,38,1
20241120_94,39,1
20241120_96,1,1
20241120_96,2,1
20241120_96,3,1
20241120_96,4,1
20241120_96,5,1
20241120_96,6,1
20241120_96,7,1
20241120_96,8,1
20241120_96,9,1
20241120_96,10,1
20241120_96,11,1
20241120_96,12,1
20241120_96,13,1
20241120_96,14,1
20241120_96,15,1
20241120_96,16,1
20241120_96,17,1
20241120_96,18,1
20241120_96,19,1
20241120_96,20,1
20241120_96,21,1
20241120_96,22,1
20241120_96,23,1
20241120_96,24,1
20241120_96,25,1
20241120_96,26,1
20241120_96,27,1
20241120_96,28,1
20241120_96,29,1
20241120_96,30,1
20241120_96,31,1
20241120_96,32,1
20241120_96,33,1
20241120_96,34,1
20241120_96,35,1
20241120_96,36,1
20241120_96,37,1
20241120_96,38,1
20241120_96,39,1
20241120_96,40,1
20241120_96,41,1
20241120_96,42,1
20241120_96,43,1
20241120_96,44,1
20241120_96,45,1
20241120_96,46,1
20241121a_98,1,1
20241121a_98,2,1
20241121a_98,3,1
20241121a_98,4,1
20241121a_98,5,1
20241121a_98,6,1
20241121a_98,7,1
20241121a_98,8,1
20241121a_98,9,1
20241121a_98,10,1
20241121a_98,11,1
20241121a_98,12,1
20241121a_98,13,1
20241121a_98,14,1
20241121a_98,15,1
20241121a_98,16,1
20241121a_98,17,1
20241121a_98,18,1
20241121a_98,19,1
20241121a_98,20,1
20241121a_98,21,1
20241121a_98,22,1
20241121a_98,23,1
20241121a_98,24,1
20241121a_98,25,1
20241121a_98,26,1
20241121a_98,27,1
20241121a_98,28,1
20241121b_103,1,1
20241121b_103,2,1
20241121b_103,3,1
20241121b_103,4,1
20241121b_103,5,1
20241121b_103,6,1
20241121b_103,7,1
20241121b_103,8,1
20241121b_103,9,1
20241121b_103,10,1
20241121b_103,11,1
20241121b_103,12,1
20241121b_103,13,1
20241121b_103,14,1
20241121b_103,15,1
20241121b_103,16,1
20241121b_103,17,1
20241121b_103,18,1
20241121b_103,19,1
20241121b_103,20,1
20241121b_103,21,1
20241121b_103,22,1
20241121b_103,23,1
20241121b_103,24,1
20241121b_103,25,1
20241121b_103,26,1
20241121b_103,27,1
20241121b_103,28,1
20241121b_103,29,1
20241121b_103,30,1
20241121b_103,31,1
20241121b_103,32,1
20241122a_105,1,1
20241122a_105,2,1
20241122a_105,3,1
20241122a_105,4,1
20241122a_105,5,1
20241122a_105,6,1
20241122a_105,7,1
20241122a_105,8,1
20241122a_105,9,1
20241122a_105,10,1
20241122a_105,11,1
20241122a_105,12,1
20241122a_105,13,1
20241122a_105,14,1
20241122a_105,15,1
20241122a_105,16,1
20241122a_105,17,1
20241122a_105,18,1
20241122a_105,19,1
20241122a_105,20,1
20241122a_105,21,1
20241122b_110,1,1
20241122b_110,2,1
20241122b_110,3,1
20241122b_110,4,1
20241122b_110,5,1
20241122b_110,6,0
20241122b_110,7,0
20241122b_110,8,1
20241122b_110,9,1
20241122b_110,10,1
20241122b_110,11,1
20241122b_110,12,1
20241122b_110,13,1
20241122b_110,14,1
20241122b_110,15,1
20241122b_110,16,0
20241122b_110,17,0
20241122b_110,18,0
20241122b_110,19,0
20241122b_110,20,1
20241122b_110,21,0
20241122b_110,22,1
20241122b_110,23,0
20241122b_110,24,0
20241122b_110,25,1
20241122b_110,26,1
20241122b_110,27,1
20241122b_110,28,1
20241122b_110,29,1
20241122b_110,30,0
20241122b_110,31,0
20241122b_110,32,1
20241122b_110,33,1
20241122b_110,34,1
20241122b_110,35,1
20241122b_110,36,1
20241211_124,1,1
20241211_124,2,1
20241211_124,3,1
20241211_124,4,1
20241211_124,5,1
20241211_124,6,1
20241211_124,7,1
20241211_124,8,1
20241211_124,9,1
20241211_124,10,1
20241211_124,11,1
20241211_124,12,1
20241211_124,13,1
20241211_124,14,1
20241211_124,15,1
20241211_124,16,1
20241211_124,17,1
20241211_124,18,1
20241211_124,19,1
20241211_124,20,1
20241211_124,21,1
20241211_124,22,1
20241211_124,23,1
20241211_124,24,1
20241211_127,1,1
20241211_127,2,1
20241211_127,3,1
20241211_127,4,1
20241211_127,5,1
20241211_127,6,1
20241211_127,7,1
20241211_127,8,1
20241211_127,9,1
20241211_127,10,1
20241211_127,11,1
20241211_127,12,1
20241211_127,13,1
20241211_127,14,1
20241211_127,15,1
20241211_127,16,1
20241211_127,17,1
20241211_127,18,1
20241211_127,19,1
20241211_127,20,1
20241211_127,21,1
20241211_127,22,1
20241211_127,23,1
20241211_127,24,1
20241211_127,25,1
20241211_127,26,1
20241211_127,27,1
20241211_127,28,1
20241211_127,29,1
20241211_127,30,1
20241211_127,31,1
20241211_127,32,1
20241211_127,33,1
20241211_127,34,1
20241211_127,35,1
20241211_127,36,1
20241211_127,37,1
20241211_127,38,1
20241211_127,39,1
20241211_127,40,1
20241211_127,41,1
20241211_127,42,1
20241211_127,43,1
20241211_127,44,1
20241211_127,45,1
20241212_131,1,1
20241212_131,2,1
20241212_131,3,1
20241212_131,4,1
20241212_131,5,1
20241212_131,6,1
20241212_131,7,1
20241212_131,8,1
20241212_131,9,1
20241212_131,10,1
20241212_131,11,1
20241212_131,12,1
20241212_131,13,1
20241212_131,14,1
20241212_131,15,1
20241212_131,16,1
20241212_131,17,1
20241212_131,18,1
20241212_131,19,1
20241212_131,20,1
20241212_131,21,1
20241212_131,22,1
20241212_131,23,1
20241212_131,24,1
20241212_131,25,1
20241212_131,26,1
20241212_131,27,1
20241212_131,28,1
20241212_131,29,1
20241212_131,30,1
20241212_131,31,1
20241212_131,32,1
20241212_131,33,1
20241216_135,1,1
20241216_135,2,1
20241216_135,3,1
20241216_135,4,1
20241216_135,5,1
20241216_135,6,1
20241216_135,7,1
20241216_135,8,1
20241216_135,9,1
20241216_135,10,1
20241216_135,11,1
20241216_135,12,1
20241216_135,13,1
20241216_135,14,1
20241216_135,15,1
20241216_135,16,1
20241216_135,17,1
20241216_137,1,1
20241216_137,2,1
20241216_137,3,1
20241216_137,4,1
20241216_137,5,1
20241216_137,6,1
20241216_137,7,1
20241216_137,8,1
20241216_137,9,1
20241216_137,10,1
20241216_137,11,1
20241216_137,12,1
20241216_137,13,1
20241216_137,14,1
20241216_137,15,1
20241216_137,16,1
20241216_137,17,1
20241216_137,18,1
20241216_137,19,1
20241216_137,20,1
20241216_137,21,1
20241216_137,22,1
20241216_137,23,1
20250731_149,1,1
20250731_149,2,1
20250731_149,3,1
20250731_149,4,1
20250731_149,5,1
20250731_149,6,1
20250731_149,7,1
20250731_149,8,1
20250731_149,9,1
20250731_149,10,1
20250731_149,11,1
20250731_149,12,1
20250731_149,13,1
20250731_149,14,1
20250731_149,15,1
20250731_149,16,1
20250731_149,17,1
20250731_149,18,1
20250731_149,19,1
20250731_149,20,1
20250731_149,21,1
20250731_149,22,1
20250731_149,23,1
20250731_149,24,1
20250731_149,25,1
20250731_149,26,1
20250731_149,27,1
20250731_149,28,1
20250731_149,29,1
20250731_149,30,1
20250731_149,31,1
20250731_149,32,1
20250731_149,33,1
20250731_149,34,1
20250731_149,35,1
20250731_149,36,1
20250731_149,37,1
20250731_149,38,1
20250731_149,39,1
20250731_149,40,1
20250731_149,41,1
20250731_149,42,1
20250731_151,1,1
20250731_151,2,1
20250731_151,3,1
20250731_151,4,1
20250731_151,5,1
20250731_151,6,1
20250731_151,7,1
20250731_151,8,1
20250731_151,9,1
20250731_151,10,1
20250731_151,11,1
20250731_151,12,1
20250731_151,13,1
20250731_151,14,1
20250731_151,15,1
20250731_151,16,1
20250731_151,17,1
20250731_151,18,1
20250731_151,19,1
20250731_151,20,1
20250731_151,21,1
20250731_151,22,1
20250731_151,23,1
20250731_151,24,1
20250731_151,25,1
20250731_151,26,1
20250731_151,27,1
20250731_151,28,1
20250731_151,29,1
20250731_151,30,1
20250731_151,31,1
20250731_151,32,1
20250731_151,33,1
20250731_151,34,1
20250731_151,35,1
20250731_151,36,1
20250731_151,37,1
20250731_151,38,1
20250806_174,1,1
20250806_174,2,1
20250806_174,3,1
20250806_174,4,1
20250806_174,5,1
20250806_174,6,1
20250806_174,7,1
20250806_174,8,1
20250806_174,9,1
20250806_174,10,1
20250806_174,11,1
20250806_174,12,1
20250806_174,13,1
20250806_174,14,1
20250806_174,15,1
20250806_174,16,1
20250806_174,17,1
20250806_174,18,1
20250806_174,19,1
20250806_174,20,1
20250806_174,21,1
20250806_174,22,1
20250806_174,23,1
20250806_174,24,1
20250806_174,25,1
20250806_174,26,1
20250806_174,27,1
20250806_174,28,1
20250806_174,29,1
20250806_174,30,1
20250806_174,31,1
20250806_174,32,1
20250806_174,33,1
20250806_174,34,1
20250806_174,35,1
20250806_174,36,1
20250806_176,1,0
20250806_176,2,0
20250806_176,3,0
20250806_176,4,1
20250806_176,5,1
20250806_176,6,0
20250806_176,7,1
20250806_176,8,1
20250806_176,9,1
20250806_176,10,1
20250806_176,11,1
20250806_176,12,1
20250806_176,13,0
20250806_176,14,0
20250806_176,15,1
20250806_176,16,0
20250806_176,17,0
20250806_176,18,1
20250806_176,19,1
20250806_176,20,1
20250806_176,21,0
20250806_176,22,0
20250806_176,23,1
20250806_176,24,0
20250806_176,25,0
20250806_176,26,1
20250806_176,27,1
20250806_176,28,0
20250806_176,29,0
20250806_176,30,0
20250806_176,31,1
20250806_176,32,1
20250806_176,33,0
20250806_176,34,0
20250806_176,35,1
20250806_176,36,1
20250806_176,37,0
20250807_178,1,1
20250807_178,2,1
20250807_178,3,0
20250807_178,4,1
20250807_178,5,1
20250807_178,6,1
20250807_178,7,1
20250807_178,8,1
20250807_178,9,1
20250807_178,10,1
20250807_178,11,1
20250807_178,12,1
20250807_178,13,1
20250807_178,14,1
20250807_178,15,1
20250807_178,16,1
20250807_178,17,1
20250807_178,18,1
20250807_178,19,1
20250807_178,20,1
20250807_178,21,1
20250807_178,22,1
20250807_178,23,1
20250807_178,24,1
20250807_178,25,1
20250807_178,26,1
20250807_178,27,1
20250807_178,28,1
20250807_178,29,1
20250807_178,30,1
20250807_178,31,1
20250807_178,32,1
20250807_178,33,1
20250807_178,34,1
20250807_178,35,1
20250807_178,36,1
20250807_178,37,1
20250807_178,38,1
20250807_178,39,1
20250807_178,40,1
20250807_178,41,1
20250807_178,42,1
20250807_178,43,1
20250807_178,44,1
20250807_178,45,1
20250807_178,46,1
20250807_178,47,1
20250807_181,1,1
20250807_181,2,1
20250807_181,3,1
20250807_181,4,1
20250807_181,5,1
20250807_181,6,1
20250807_181,7,1
20250807_181,8,1
20250807_181,9,1
20250807_181,10,1
20250807_181,11,1
20250807_181,12,1
20250807_181,13,1
20250807_181,14,1
20250807_181,15,1
20250807_181,16,1
20250807_181,17,1
20250807_181,18,1
20250807_181,19,1
20250807_181,20,1
20250807_181,21,1
20250807_181,22,1
20250807_181,23,1
20250807_181,24,1
20250807_181,25,1
20250807_181,26,1
20250807_181,27,1
20250807_181,28,1
20250807_181,29,1
20250807_181,30,1
20250807_181,31,1
20250807_181,32,1
20250808_183,1,1
20250808_183,2,1
20250808_183,3,1
20250808_183,4,1
20250808_183,5,1
20250808_183,6,1
20250808_183,7,1
20250808_183,8,1
20250808_183,9,1
20250808_183,10,1
20250808_183,11,1
20250808_183,12,1
20250808_183,13,1
20250808_183,14,1
20250808_183,15,0
20250808_183,16,1
20250808_183,17,1
20250808_183,18,1
20250808_183,19,1
20250808_183,20,1
20250808_183,21,1
20250808_183,22,1
20250808_183,23,1
20250808_183,24,1
20250808_183,25,1
20250808_183,26,1
20250808_183,27,1
20250808_183,28,1
20250808_183,29,1
20250808_183,30,1
20250808_183,31,1
20250808_183,32,1
20250808_183,33,1
20250808_183,34,1
20250808_183,35,1
20250808_183,36,1
20250808_183,37,1
20250808_183,38,1
20250808_183,39,1
20250808_183,40,1
20250808_183,41,1
20250808_183,42,1
20250808_183,43,1
20250808_183,44,1
20250808_183,45,1
20250808_183,46,1
20250808_183,47,1
20250808_183,48,1
20250808_183,49,1
20250808_183,50,1
20250808_183,51,1
20250808_183,52,1
20250808_183,53,1
20250808_183,54,1
20250808_183,55,1
20250808_183,56,1
20250808_183,57,1
20250808_183,58,1
20250808_183,59,1
20250808_183,60,1
20250808_183,61,1
20250808_183,62,1
20250808_186,1,1
20250808_186,2,1
20250808_186,3,1
20250808_186,4,1
20250808_186,5,1
20250808_186,6,1
20250808_186,7,1
20250808_186,8,1
20250808_186,9,1
20250808_186,10,1
20250808_186,11,1
20250808_186,12,1
20250808_186,13,1
20250808_186,14,1
20250808_186,15,1
20250808_186,16,1
20250808_186,17,1
20250808_186,18,1
20250808_186,19,1
20250808_186,20,1
20250808_186,21,1
20250808_186,22,1
20250808_186,23,1
20250808_186,24,1
20250808_186,25,1
20250808_186,26,1
20250808_186,27,1
20250808_186,28,1
20250808_186,29,1
20250808_186,30,1
20250808_186,31,1
20250808_186,32,1
20250808_186,33,1
20250808_186,34,1
20250808_186,35,1
20250826_190,1,0
20250826_190,2,0
20250826_190,3,1
20250826_190,4,1
20250826_190,5,0
20250826_190,6,1
20250826_190,7,0
20250826_190,8,1
20250826_190,9,1
20250826_190,10,1
20250826_190,11,1
20250826_190,12,1
20250826_190,13,1
20250826_190,14,0
20250826_190,15,0
20250826_190,16,0
20250826_190,17,0
20250826_190,18,0
20250826_190,19,1
20250826_190,20,1
20250826_190,21,0
20250826_190,22,1
20250826_190,23,1
20250826_190,24,0
20250826_190,25,0
20250826_190,26,0
20250826_190,27,1
20250826_190,28,1
20250826_192,1,1
20250826_192,2,1
20250826_192,3,1
20250826_192,4,1
20250826_192,5,1
20250826_192,6,1
20250826_192,7,1
20250826_192,8,1
20250826_192,9,1
20250826_192,10,1
20250826_192,11,1
20250826_192,12,1
20250826_192,13,1
20250826_192,14,1
20250826_192,15,1
20250826_192,16,1
20250826_192,17,1
20250826_192,18,1
20250826_192,19,1
20250826_192,20,1
20250826_192,21,1
20250826_192,22,1
20250826_192,23,1
20250826_192,24,1
20250826_192,25,1
20250826_192,26,1
20250826_192,27,1
20250826_192,28,1
20250826_192,29,1
20250826_192,30,1
20250827_196,1,1
20250827_196,2,1
20250827_196,3,1
20250827_196,4,1
20250827_196,5,1
20250827_196,6,1
20250827_196,7,1
20250827_196,8,1
20250827_196,9,1
20250827_196,10,1
20250827_196,11,1
20250827_196,12,1
20250827_196,13,1
20250827_196,14,1
20250827_196,15,1
20250827_196,16,1
20250827_196,17,1
20250827_196,18,1
20250827_196,19,1
20250827_196,20,1
20250827_196,21,1
20250827_196,22,1
20250827_196,23,1
20250827_196,24,1
20250827_196,25,1
20250827_196,26,1
20250827_196,27,0
20250827_196,28,1
20250827_199,1,1
20250827_199,2,1
20250827_199,3,1
20250827_199,4,1
20250827_199,5,1
20250827_199,6,1
20250827_199,7,1
20250827_199,8,1
20250827_199,9,1
20250827_199,10,1
20250827_199,11,1
20250827_199,12,1
20250827_199,13,1
20250827_199,14,1
20250827_199,15,1
20250827_199,16,1
20250827_199,17,1
20250827_199,18,1
20250827_199,19,1
20250827_199,20,1
20250827_199,21,1
20250827_199,22,1
